Date,Description,Currency,Amount
26-Oct-2019,OLA WWW.OLACABS.C IND,,433.00
26-Oct-2019,OLA WWW.OLACABS.C IND,,395.00
27-Oct-2019,IRCTC NEW DELHI DEL,,392.57
04-Nov-2019,iPay*IRCTC E Ticketing NewDelhi DLI,,542.17
04-Nov-2019,PAYTM APP NOIDA IND,,350.00
06-Nov-2019,iPay*IRCTC E Ticketing NewDelhi DLI,,542.17 Cr
06-Nov-2019,PAYTM NOIDA IND,,149.00
30-Oct-2019,PAYMENT RECEIVED - ELECTRONIC XFR,,60897.85 Cr
